customer_id,msisdn,national_id,first_name,last_name,gender,date_of_birth,registration_date,plan_type,status,state,balance
154f1646-cab1-4523-86c6-bc79474aba99,09122181960,01338908386,Mustafa,Osman,M,1979-10-11,2023-10-27,hybrid,active,Kadugli,32.49
3c24319c-ef34-44f8-92d7-394eba6e9f70,09123511615,59407816184,Leila,Idris,F,1992-06-11,2024-11-28,prepaid,active,Khartoum,3306.32
d0452ad8-9aca-4f89-8c22-ffea89311753,09164752553,41928327648,Ali,Hassan,M,1979-09-14,2022-10-04,prepaid,active,Khartoum,4025.23
a321d0dd-f9cb-4984-8715-c7b8d37625f1,09185376724,23884969653,Hassan,Mahjoub,M,1972-05-29,2024-05-02,postpaid,active,Khartoum,4305.51
f6917e40-0ac1-4140-9bf7-934019537ea3,09126697848,01845146270,Omer,Suleiman,M,1983-08-18,2024-04-04,prepaid,active,Omdurman,4352.59
3caeb520-3a46-4e61-901b-a28c50b4eae8,09128809570,15430391171,Ibrahim,Issa,M,1971-04-13,2021-02-02,hybrid,active,Wad Madani,825.63
856e28d5-3e58-4ae5-b842-6d0358a0a40a,09183465787,13315098393,Sara,Bakri,F,1960-08-23,2020-08-08,hybrid,active,Port Sudan,337.0
f9308e7a-5ed6-4091-85ff-21ddcd54e503,09124738299,73763116566,Huda,Nour,F,2001-11-24,2020-06-17,hybrid,active,Dongola,-1359.66
a90a0266-823b-4c61-8703-24b89ed59896,09128726247,31781080132,Ali,Ibrahim,M,1996-06-17,2024-02-17,postpaid,active,Nyala,4512.21
56952a66-9e6d-49bc-b5fe-a60cc64928a2,09164687234,30980500978,Salah,Idris,M,1974-02-14,2020-06-25,hybrid,active,Bahri,342.61
a105de05-8243-427b-a015-446c5171ea8f,09183990916,99854353462,Salah,Hassan,M,1986-11-30,2023-11-21,postpaid,churned,Ed Damazin,-1894.82
582df250-f9a9-48ae-9168-14e6d2827bb2,09128425135,42784980841,Khalid,Bakri,M,1972-01-18,2022-04-01,prepaid,suspended,Sennar,2766.12
f066f5c7-311e-4526-ab83-5c53af1312a7,09184874016,40052427868,Osman,Ibrahim,M,1960-11-12,2020-12-13,prepaid,churned,Sennar,4519.64
2948d1cc-f517-451b-826b-03d9855d1651,09126204505,33158692322,Intisar,Bakri,F,1996-12-27,2020-03-18,prepaid,active,El Obeid,3911.93
409150be-5a8c-4c17-a04b-e8a807598ebd,09181607337,54330365414,Mustafa,Ali,M,1991-07-03,2025-06-16,hybrid,active,Kadugli,2681.08
e9408c00-dc10-469e-8906-8136cb2fb358,09184019655,69816934060,Mustafa,Ali,M,1977-09-04,2023-02-05,postpaid,active,Dongola,4603.85
d2843e39-f7c1-4b16-b862-efca5795738b,09166564823,66299468044,Abdalla,Nour,M,1978-11-09,2023-08-28,hybrid,active,El Obeid,2324.94
f0bf95c4-2629-460e-91cc-cf4647812396,09182148951,34332003791,Tariq,Fadl,M,2000-11-09,2023-07-11,hybrid,active,Sennar,3481.77
6223d4c3-6c21-4e10-a9f7-05c19761aad5,09126328708,31727889579,Ibrahim,Adam,M,1998-04-14,2024-08-29,postpaid,suspended,Sennar,4307.47
2e1ae942-2a3f-4677-9239-a72bebefb62a,09163471434,55812236231,Mustafa,Nour,M,1997-03-21,2023-06-20,postpaid,active,Nyala,311.33
7c1c6391-9920-4185-886c-e88dd5153ee7,09186705466,88937346706,Intisar,Adam,F,1990-02-26,2023-06-10,hybrid,active,El Fasher,4597.71
6b503642-ec82-4a52-b886-d491574e49d2,09180162720,46537556464,Salah,Mahjoub,M,1967-05-07,2024-01-01,prepaid,active,Khartoum,4999.54
3f23df54-b4a1-4bb2-82c8-e09cccc6df44,09123092327,19374529912,Mohammed,Adam,M,1987-11-27,2020-12-01,hybrid,active,Kassala,2878.98
f8804035-294f-411a-b0aa-6d8a6a716031,09129314919,05865185067,Hala,Ibrahim,F,1969-06-20,2023-09-08,postpaid,active,Kadugli,2298.7
2d6aac55-3998-4981-b47c-ea8c98936edb,09188776945,31473799650,Tariq,Idris,M,2004-05-06,2022-10-06,prepaid,active,El Obeid,3989.16
52f48b42-687e-4223-b160-0e2c5e49c07d,09183136783,77701436349,Abeer,Adam,F,1993-02-08,2024-01-10,hybrid,active,Nyala,4983.16
f6d1c153-730c-4edf-bc20-58d60787380b,09164313518,23374989413,Widad,Idris,F,1986-07-30,2021-12-07,postpaid,active,Khartoum,3540.09
685a931a-2928-43fb-817f-cffe3f3ffe11,09162710947,77520471167,Mohammed,Bakri,M,1966-08-24,2024-11-27,hybrid,active,Bahri,745.99
588a88fe-54aa-4f34-9b22-8a64dc4effc0,09128699938,67749649909,Huda,Osman,F,1968-11-25,2021-10-07,hybrid,active,Dongola,405.94
d90d25f9-7668-4644-96bf-b5e6b06962f4,09167974034,47134936183,Yousif,Adam,M,1973-05-14,2022-04-05,prepaid,active,Bahri,3963.14
